C & C Music Factory - Do You Want to Get Funky
C & C Music Factory - Gonna Make You Sweat
C & C Music Factory - Things That Make You Go Hmmm
C Note - Wait Till I Get Home
C-Side - Boyfriend/Girlfriend [w/Keyshia Cole]
Cab, The - Bounce
Caball - Barcelona [w/Freddy Mercury]
Cabas - Mi Bomb
Cabrera, Jorge Luis - Qu
Cabrera, Jorge Luis - En Realidad
Cabrera, Ryan - 40 Kinds of Sadness
Cabrera, Ryan - On the Way Down
Cabrera, Ryan - Shine On
Cabrera, Ryan - True
Cadillacs, The - Speedo
Cadillacs, The - Gloria
Caesars, The - Jerk It Out
Cafferty, John, & the Beaver Brown Band - Tender Years
Cafferty, John, & the Beaver Brown Band - On the Dark Side
Cage the Elephant - Ain't No Rest for the Wicked
Cage, Athena - Butterscotch [w/Keith Sweat]
Cagle, Chris - What Kinda Gone
Cagle, Chris - What a Beautiful Day
Cagle, Chris - Wal-Mart Parking Lot
Cagle, Chris - Southern Girl
Cagle, Chris - My Love Goes on and On
Cagle, Chris - Miss Me Baby
Cagle, Chris - Laredo
Cagle, Chris - I'd Be Lying
Cagle, Chris - I Breathe In, I Breathe Out
Cagle, Chris - Country By the Grace of God
Cagle, Chris - Chicks Dig It
Caillat, Colbie - Shadow
Caillat, Colbie - Realize
Caillat, Colbie - Lucky [w/Jason Mraz]
Caillat, Colbie - I Never Told You
Caillat, Colbie - Fallin' for You
Caillat, Colbie - Bubbly
Cake - Distance, The
Cake - Short Skirt, Long Jacket
Cake - No Phone
Cake - Never There
Cake - Let Me Go
Cake - I Will Survive
Calabrese, Kayla - Kiss Me
Calder - Amor Amor [w/Roselyn Sanchez]
Calder - M
Caldwell, Bobby - Love Lite
Caldwell, Bobby - Stuck on You
Caldwell, Bobby - What You Won't Do for Love
Cali Swag District - Burn Out (Drive Fast)
Callait, Colbie - Realize
Calling, The - Anything
Calling, The - Wherever You Will Go
Calling, The - Things Will Go My Way
Calling, The - Adrienne
Calling, The - Our Lives
Calling, The - For You
Calling, The - Could It Be Any Harder
Calling, The - These Are the Days
Calloway, Cab - Minnie the Moocher
Cam'ron - Hey Ma [w/Juelz Santana & Freekey Zekey & KaySlay]
Cam'ron - Oh Boy [w/Juelz Santana]
Cam'ron - Daydreaming
Cameo - She's Strange
Cameo - Word Up
Cameo - Loverboy [w/Mariah Carey]
Cameo - Candy
Cameo - Back and Forth
Camp, Jeremy - I Still Believe
Camp, Shawn - Fallin' Never Felt So Good
Camp, Shawn - Confessin' My Love
Campaign - How 'bout Us
Campbell, Archie - Dark End of the Street [w/Lorene Mann]
Campbell, Craig - Fish
Campbell, Glen - Rhinestone Cowboy
Campbell, Glen - Somethin' About You Baby I Like [w/Rita Coolidge]
Campbell, Glen - Southern Nights
Campbell, Glen - Then You Can Tell Me Goodbye
Campbell, Glen - Try a Little Kindness
Campbell, Glen - Wichita Lineman
Campbell, Glen - Old Hometown
Campbell, Glen - Lady Like You, A
Campbell, Glen - Dreams of the Everyday Housewife
Campbell, Glen - Country Boy
Campbell, Glen - By the Time I Get to Phoenix
Campbell, Glen - Faithless Love
Campbell, Glen - Galveston
Campbell, Glen - Gentle on My Mind
Campbell, Glen - Honey Come Back
Campbell, Glen - I Wanna Live
Campbell, Glen - It's Only Make Believe
Campbell, Glen - Everything a Man Could Ever Need
Campbell, Stacy Dean - Poor Man's Roses, A
Campbell, Stacy Dean - Makin' Good Time
Campbell, Stacy Dean - Honey I Do
Campbell, Stacy Dean - Eight Feet High
Campbell, Tevin - Round & Round
Campbell, Tevin - I'm Ready
Campbell, Tevin - I Got It Bad
Campbell, Tevin - Don't Say Goodbye Girl
Campbell, Tevin - Confused
Campbell, Tevin - Can We Talk
Campbell, Tevin - Back to the World
Campbell, Tevin - Always in My Heart
Camper Van Beethoven - Take the Skinheads Bowling
Camryn - Now or Never
Canales, Laura - Avisame
Candace - Angel [w/Tyrese]
Candlebox - You
Candlebox - It's Alright
Candlebox - Happy Pills
Candlebox - Far Behind
Candlebox - Cover Me
Canned Heat - Going Up the Country
Canned Heat - Let's Work Together
Canned Heat - On the Road Again
Cannibal & the Headhunters - Land of 1000 Dances
Cannon, Freddie - Way Down Yonder in New Orleans
Cannon, Freddie - Tallahassee Lassie
Cannon, Freddie - Palisades Park
Cannon, Melonie - And the Wheels Turn
Cannon, Nick - Gigolo [w/R.Kelly]
Cantrell, Blu - Till I'm Gone
Cantrell, Blu - Make Me Wanna Scream
Cantrell, Blu - Hit 'em Up Style (Oops!)
Cantrell, Blu - Breathe [w/Sean Paul]
Cantrell, Jerry - Anger Rising
Cantrell, Jerry - Leave Me Alone
Cantrell, Jerry -  see also  Alice in Chains 
Canyon, George - My Name
Canyon, George - Who Would You Be
Capaldi, Jim - Love Hurts
Caperton, Kaley - Red, White and Beautiful
Capitols, The - Cool Jerk
Caprice - Oh Yeah
Capris, The - There's a Moon Out Tonight
Capris, The - Morse Code of Love
Captain & Tennille, The - Do That to Me One More Time
Captain & Tennille, The - Wedding Song (There Is Love)
Captain & Tennille, The - Way I Want to Touch You, The
Captain & Tennille, The - Shop Around
Captain & Tennille, The - Muskrat Love
