G - Butterfly
G-Unit - Wanna Get to Know You [w/Joe]
G-Unit - Stunt 101
Gabe Dixon Band, The - Five More Hours
Gabriel, Ana - Hablame de Frente
Gabriel, Ana - Huelo a Soledad
Gabriel, Juan - Todo Esta Bien
Gabriel, Juan - No Vale la Pena [w/Nydia]
Gabriel, Juan - Mi Bendita Tierra
Gabriel, Juan - Inocente Pobre Amigo
Gabriel, Juan - Inocente de Ti
Gabriel, Juan - Abrazame Muy Fuerte
Gabriel, Peter - When You're Falling [w/Afro-Celt]
Gabriel, Peter - Solsbury Hill (live)
Gabriel, Peter - Solsbury Hill
Gabriel, Peter - Sledgehammer
Gabriel, Peter - Shock the Monkey
Gabriel, Peter - Red Rain
Gabriel, Peter -  see also  Genesis 
Gabriel, Peter - Big Time
Gabriel, Peter - Book of Love
Gabriel, Peter - Don't Give Up [w/Kate Bush]
Gabriel, Peter - Games Without Frontiers
Gabriel, Peter - In Your Eyes
Gabrielle - Should I Stay or Should I Go?
Gabrielle - Stay the Same
Gabrielle - Sunshine
Gabrielle - Ten Years Time
Gabrielle - Walk on By
Gabrielle - When a Woman
Gabrielle - Why
Gabrielle - Rise
Gabrielle - Out of Reach
Gabrielle - Don't Need the Sun to Shine
Gabrielle - Dreams
Gabrielle - Forget About the World
Gabrielle - Give Me a Little More Time
Gabrielle - Going Nowhere
Gabrielle - I Wish
Gabrielle - If I Walked Away
Gabrielle - If You Ever
Gabrielle - If You Really Cared
Gabrielle - Because of You
GaGa, Lady - see  Lady GaGa 
Gaines, Chris - see  Brooks, Garth 
Gaines, Rosie - Surrender
Gainsbourg, Serge & Jane Birkin - Je T'aime...moi Non Plus
Gala - Let a Boy Cry
Gallagher & Lyle - Heart on My Sleeve
Gallant, Patsy - From New York to L. A
Gallery - Nice to Be with You
Galliana, Luke - To Die For
Game, The - Wouldn't Get Far [w/Kanye West]
Game, The - Playas Only [w/R. Kelly]
Game, The - It's Okay (One Blood)
Game, The - How We Do  [w/50 Cent]
Game, The - Hate It or Love It [w/50 Cent]
Game, The - Game's Pain [w/Keyshia Cole]
Game, The - Big Money
Game, The - Camera Phone [w/Ne-Yo]
Game, The - Dreams
Gap Band, The - You Dropped a Bomb on Me
Gap Band, The - Party Train
Gap Band, The - Oops Upside Your Head
Gap Band, The - Early in the Morning (Part 2)
