J Cole -  see  Cole, J 
J'son - I'll Never Stop Loving You
J-Hood - I Won't Tell [w/Fat Joe]
J-Hood - Ahh [w/Ciara]
J-Kwon - Tipsy
J-Lo - see  Lopez, Jennifer 
J. Geils Band, The - Flame Thrower
J. Geils Band, The - First I Look at the Purse
J. Geils Band, The - Centerfold
J. Geils Band, The -  see also  Wolf, Peter 
J. Geils Band, The - Take It Back
J. Geils Band, The - One Last Kiss
J. Geils Band, The - Musta Got Lost (studio version)
J. Geils Band, The - Love Stinks
J. Geils Band, The - I Do
J. Geils Band, The - House Party, (Ain't Nothin' But A)
J. Geils Band, The - Give It to Me
J. Geils Band, The - Freeze-Frame
Ja Rule - Murder Reigns
Ja Rule - Put It on Me [w/Lil Mo & Vita]
Ja Rule - Rainy Dayz [w/Mary J Blige]
Ja Rule - Thug Lovin' [w/Bobby Brown]
Ja Rule - Wonderful [w/R. Kelly & Ashanti]
Ja Rule - Mesmerize [w/Ashanti]
Ja Rule - Livin' It Up
Ja Rule - Ain't It Funny (remix) [w/Jennifer Lopez]
Ja Rule - Always on Time [w/Ashanti]
Ja Rule - Between Me and You [w/Christina Milan]
Ja Rule - Can I Get A.... [w/Jay-Z & Amli]
Ja Rule - Down Ass Chick [w/Charli Chuck Baltimore]
Ja Rule - Clap Back, The
Ja Rule - Down 4 U [w/Inc & Ashanti & Charli Baltimore&Vita]
Ja Rule - Happy [w/Ashanti]
Ja Rule - I Cry [w/Lil Mo]
Ja Rule - I'm Real [w/Jennifer Lopez]
Jaber, Tamara - Ooh Aah
Jack's Mannequin - Release Me
Jack's Mannequin - My Racing Thoughts
Jacks, Terry - Seasons in the Sun
Jackson 5 - Who's Loving You
Jackson Five, The - ABC
Jackson Five, The - Enjoy Yourself
Jackson Five, The - I Want You Back
Jackson Five, The - I'll Be There
Jackson Five, The - Stop!  the Love You Save May Be Your Own
Jackson Five, The - Rockin' Robin
Jackson Five, The - Never Can Say Goodbye
Jackson, Alan - Small Town Southern Man
Jackson, Alan - Softly and Tenderly
Jackson, Alan - Someday
Jackson, Alan - Song for the Life
Jackson, Alan - Standing on the Promises
Jackson, Alan - Summertime Blues
Jackson, Alan - Talkin' Song Repair Blues, The
Jackson, Alan - Tall Tall Trees
Jackson, Alan - Sissy's Song
Jackson, Alan - She's Got the Rhythm (and I Got the Blues)
Jackson, Alan - Ring of Fire [w/Lee Ann Womack]
Jackson, Alan - Midnight in Montgomery
Jackson, Alan - Monday Morning Church
Jackson, Alan - Murder on Music Row [w/George Strait]
Jackson, Alan - Must've Had a Ball
Jackson, Alan - Old Rugged Cross, The
Jackson, Alan - Pop a Top
Jackson, Alan - Remember When
Jackson, Alan - Right on the Money
Jackson, Alan - That'd Be Alright
Jackson, Alan - There Goes
Jackson, Alan - Three Minute Up Tempo Love Song
Jackson, Alan - When We All Get to Heaven
Jackson, Alan - Where I Come From
Jackson, Alan - Where Were You (When the World Stopped Turning)
Jackson, Alan - Who Says You Can't Have It All
Jackson, Alan - Woman's Love, A
Jackson, Alan - Work in Progress
Jackson, Alan - www.memory
Jackson, Alan - You Can't Give Up on Love
Jackson, Alan - When Somebody Loves You
Jackson, Alan - When Love Comes Around
Jackson, Alan - Tis So Sweet to Trust in Jesus
Jackson, Alan - Tonight I Climbed the Wall
Jackson, Alan - Too Much of a Good Thing
Jackson, Alan - Tropical Depression
Jackson, Alan - Turn Your Eyes Upon Jesus
Jackson, Alan - USA Today
Jackson, Alan - Walk on the Rocks
Jackson, Alan - What a Friend We Have in Jesus
Jackson, Alan - Who's Cheatin' Who
Jackson, Alan - Mercury Blues
Jackson, Alan - Angels Cried, The [w/Alison Krauss]
Jackson, Alan - Everything I Love
Jackson, Alan - Gone Country
Jackson, Alan - Gone Crazy
Jackson, Alan - Good Time
Jackson, Alan - Good Year for the Roses, A [w/George Jones]
Jackson, Alan - Here in the Real World
Jackson, Alan - Hey Good Lookin'[w/Black,Buffet,Chesny,Kth,Strait]
Jackson, Alan - Home
Jackson, Alan - House with No Curtains, A
Jackson, Alan - Drive (For Daddy Gene)
Jackson, Alan - Don't Rock the Jukebox
Jackson, Alan - Designated Drinker [w/George Strait]
Jackson, Alan - Are You Washed in the Blood-I'll Fly Away Medley
Jackson, Alan - Between the Devil and Me
Jackson, Alan - Blessed Assurance
Jackson, Alan - Blues Man, The
Jackson, Alan - Buicks to the Moon
Jackson, Alan - Chasin' That Neon Rainbow
Jackson, Alan - Chattahoochee
Jackson, Alan - Country Boy
Jackson, Alan - Dallas
Jackson, Alan - How Great Thou Art
Jackson, Alan - I Don't Even Know Your Name
Jackson, Alan - Leaning on the Everlasting Arms
Jackson, Alan - Let It Be Christmas
Jackson, Alan - Like Red on a Rose
Jackson, Alan - Little Bitty
Jackson, Alan - Little Bluer than That, A
Jackson, Alan - Meat and Potato Man
Jackson, Alan - Love's Got a Hold on You
Jackson, Alan - Little Man
Jackson, Alan - Long Way to Go
Jackson, Alan - Livin' on Love
Jackson, Alan - It's Just That Way
Jackson, Alan - It's Five O'Clock Somewhere [w/Jimmy Buffett]
Jackson, Alan - I Want to Stroll Over Heaven with You
Jackson, Alan - I'd Love You All Over Again
Jackson, Alan - I'll Go on Loving You
Jackson, Alan - I Love to Tell the Story
Jackson, Alan - I'll Try
Jackson, Alan - In the Garden
Jackson, Alan - It Must Be Love
Jackson, Alan - It's All About Him (Moby edit)
Jackson, Alan - It's Alright to Be a Redneck
Jackson, Alan - I Still Like Bologna
Jackson, Brandon - Just a Good Friend
Jackson, Chuck - I Don't Want to Cry
Jackson, Chuck - Any Day Now
Jackson, Chuck - Daddy's Home [w/Maxine Brown]
Jackson, Freddie - Love Me Down
Jackson, Freddie - All Over You
Jackson, Freddie - I Don't Want to Lose Your Love
Jackson, Freddie - Nice n' Slow
Jackson, Freddie - You Are My Lady
Jackson, Freddie - Was It Something
Jackson, Freddie - Thank You
Jackson, Freddie - Rock Me Tonight (for Old Times Sake)
Jackson, Freddie - Jam Tonight
Jackson, Freddie - Make Love Easy
Jackson, Giselle - Huele a Peligro
Jackson, Janet - Nasty
Jackson, Janet - Miss You Much
Jackson, Janet - Luv
Jackson, Janet - Love Will Never Do
Jackson, Janet - Love Doesn't Really Matter
Jackson, Janet - Let's Wait Awhile
Jackson, Janet - Pleasure Principle
Jackson, Janet - Someone to Call My Lover
Jackson, Janet - Son of a Gun
Jackson, Janet - Son of a Gun [P Diddy remix]
Jackson, Janet - That's the Way Love Goes
Jackson, Janet - Together Again
Jackson, Janet - What Have You Done for Me Lately
Jackson, Janet - When I Think of You
Jackson, Janet - You Want This
Jackson, Janet - Just a Little While
Jackson, Janet - If
Jackson, Janet - Call on Me [w/Nelly]
Jackson, Janet - Black Cat
Jackson, Janet - Best Things in Life Are Free,The[w/LutherVandross]
Jackson, Janet - Because of Love
Jackson, Janet - Again
Jackson, Janet - Any Time, Any Place
Jackson, Janet - Alright
Jackson, Janet - All Nite
Jackson, Janet - All for You
Jackson, Janet - Come Back to Me
Jackson, Janet - Control
Jackson, Janet - Feel It Boy [w/Beenie Man]
Jackson, Janet - Go Deep
Jackson, Janet - I Get Lonely
Jackson, Janet - Feedback
Jackson, Janet - I Want You
Jackson, Janet - Everytime
Jackson, Janet - Escapade
Jackson, Janet - Dosen't Really Matter
Jackson, Janet - Doesn't Really Matter
Jackson, Jermaine - Let's Get Serious
Jackson, Jermaine - If You Say My Eyes Are Beautiful[w/WhitneyHouston]
Jackson, Jermaine - Tell Me I'm Not Dreamin' (Too Good toBeTrue)[w/MJ]
Jackson, Joe - Is She Really Going Out with Him?
Jackson, Joe - Breaking Us in Two
Jackson, Joe - Different for Girls
Jackson, Joe - It's Different for Girls
Jackson, Joe - Sunday Papers
Jackson, Joe - Steppin' Out
Jackson, Joe - Look Sharp!
Jackson, Leon - Don't Call This Love
Jackson, Leon - Creative
Jackson, Leon - When You Believe
Jackson, Mahalia - We Shall Overcome
Jackson, Michael - Speechless
Jackson, Michael - Somebody's Watching Me [backup on Rockwell song]
Jackson, Michael - Smooth Criminal
Jackson, Michael - She's Out of My Life
Jackson, Michael - Shake Your Body (Down to the Ground)[The Jacksons]
Jackson, Michael - Say, Say, Say [w/Paul McCartney]
Jackson, Michael - Rockin' Robin
Jackson, Michael - Rock with You
Jackson, Michael - Remember the Time
Jackson, Michael - P.Y.T. (Pretty Young Thing)
Jackson, Michael - Stranger in Moscow
Jackson, Michael - Tell Me I'm Not Dreamin' [w/Jermaine Jackson]]
