R Kelly - see  Kelly, R 
Ra - Do You Call My Name
Ra - Rectifier
Rabbitt, Eddie - Step By Step
Rabbitt, Eddie - Someone Could Lose a Heart Tonight
Rabbitt, Eddie - She's Comin' Back to Say Goodbye
Rabbitt, Eddie - Runnin' with the Wind
Rabbitt, Eddie - Rocky Mountain Music
Rabbitt, Eddie - Repetitive Regret
Rabbitt, Eddie - Suspicions
Rabbitt, Eddie - That's Why I Fell in Love (with You)
Rabbitt, Eddie - Wanderer, The
Rabbitt, Eddie - Warning Signs
Rabbitt, Eddie - We Can't Go on Living Like This
Rabbitt, Eddie - You and I [w/Crystal Gayle]
Rabbitt, Eddie - You Can't Run from Love
Rabbitt, Eddie - You Don't Love Me Anymore
Rabbitt, Eddie - Pour Me Another Tequila
Rabbitt, Eddie - On Second Thought
Rabbitt, Eddie - B-B-B-Burnin' Up with Love
Rabbitt, Eddie - Best Year of My Life, The
Rabbitt, Eddie - Both to Each Other [w/Juice Newton]
Rabbitt, Eddie - Drinking My Baby Off My Mind
Rabbitt, Eddie - Drivin' My Life Away
Rabbitt, Eddie - Every Which Way But Loose
Rabbitt, Eddie - Gone Too Far
Rabbitt, Eddie - Hearts on Fire
Rabbitt, Eddie - Kentucky Rain
Rabbitt, Eddie - Just You & I [w/Crystal Gayle]
Rabbitt, Eddie - I Wanna Dance with You
Rabbitt, Eddie - I Love a Rainy Night
Rabbitt, Eddie - I Don't Know Where to Start
Rabbitt, Eddie - I Can't Help Myself
Racey - Lay Your Love on Me
Racey - Some Girls Won't
Raconteurs, The - Steady as She Goes
Raconteurs, The - Level
Raconteurs, The - Broken Boy Soldier
Raconteurs, The - Another Way to Die [Alicia Keys & Jack White]
Raconteurs, The -  see also  White Stripes 
Radin, Joshua - I'd Rather Be with You
Radiohead - There There
Radiohead - Street Spirit (Fade Out)
Radiohead - Paranoid Android
Radiohead - Optimistic
Radiohead - Nude
Radiohead - No Surprises
Radiohead - My Iron Lung
Radiohead - High & Dry
Radiohead - Go to Sleep
Radiohead - Fake Plastic Trees
Radiohead - Creep
Rae, Corinne Bailey - Trouble Sleeping
Rae, Corinne Bailey - Put Your Records On
Rae, Corinne Bailey - Like a Star
Rae, Corinne Bailey - I'd Like To
Rae, Corinne Bailey - I'd Do It All Again
Rae, Corinne Bailey - Closer
Rafferty, Gerry - Right Down the Line
Rafferty, Gerry - Night Owl
Rafferty, Gerry - It's Been You Right Down the Line
Rafferty, Gerry - Get It Right Next Time
Rafferty, Gerry - Baker Street
Rage Against the Machine - Bulls on Parade
Rage Against the Machine - Guerrilla Radio
Rage Against the Machine - How I Could Just Kill a Man
Rage Against the Machine - Killing in the Name
Rage Against the Machine - Renegades of Funk
Rage Against the Machine - Testify
Rahman, A.R. - Jai Ho! (You Are My Destiny) [w/Pussycat Dolls & Nicole Sherzinger]
Raiders, The -  see  Revere, Paul & the Raiders 
Rainbow - Man on the Silver Mountain
Rainbow - Since You've Been Gone
Rainbow - Stone Cold
Rainbow - Street of Dreams
Rainman - Iko Iko
Rainwater, Marvin - Whole Lotta Woman
Rainwater, Marvin - Gonna Find Me a Bluebird
Raitt, Bonnie - Rock Steady [w/Bryan Adams]
Raitt, Bonnie - Right Down the Line
Raitt, Bonnie - One Part Be My Lover
Raitt, Bonnie - One Belief Away
Raitt, Bonnie - Not the Only One
Raitt, Bonnie - No Way to Treat a Lady
Raitt, Bonnie - Runaway
Raitt, Bonnie - Silver Lining
Raitt, Bonnie - Since I Fell for You
Raitt, Bonnie - Something to Talk About
Raitt, Bonnie - Storm Warning
Raitt, Bonnie - Thing Called Love
Raitt, Bonnie - Walkin' Blues
Raitt, Bonnie - You
Raitt, Bonnie - You Got It
Raitt, Bonnie - Nick of Time
Raitt, Bonnie - Lover's Will
Raitt, Bonnie - All at Once
Raitt, Bonnie - Angel from Montgomery [w/John Prine]
Raitt, Bonnie - Blue for No Reason
Raitt, Bonnie - Come to Me
Raitt, Bonnie - Give It Up or Let Me Go
Raitt, Bonnie - Good Man, Good Woman [w/Delbert McClinton]
Raitt, Bonnie - Guilty
Raitt, Bonnie - Have a Heart
Raitt, Bonnie - I Can't Help You Now
