Wagner, Jack - All I Need
Wagon, Chuck & Wheels - Play That Country Music Cowboy
Wagoner, Porter - Satisfied Mind, A
Wagoner, Porter - Please Don't Stop Loving Me [w/Dolly Parton]
Wagoner, Porter - Misery Loves Company
Wagoner, Porter - Lost Forever in Your Kiss [w/Dolly Parton]
Wagoner, Porter - Last Thing on My Mind, The [w/Dolly Parton]
Wagoner, Porter - Just Someone I Used to Know [w/Dolly Parton]
Wagoner, Porter - Eat Drink and Be Merry
Wagoner, Porter - Cold Hard Facts of Life, The
Wah - Story of the Blues
Wainwright III, Loudon - Dead Skunk
Wainwright, Martha - Set the Fire to the Third Bar [w/Snow Patrol]
Wainwright, Rufus - Hallelujah
Waite, John - Change
Waite, John - How Did I Get By Without You
Waite, John - Missing You
Waite, John - Missing You 2007 [w/Alison Krauss]
Waitresses, The - I Know What Boys Like
Waitresses, The - Christmas Wrapping
Waits, Tom - Goin' Out West
Waits, Tom - Piano Has Been Drinking, The
Wakely, Jimmy - One Has My Name the Other Has My Heart
Wakely, Jimmy - Slippin' Around [w/Margaret Whiting]
Wale - Chillin' [w/Lady Gaga]
Walker Brothers, The - My Ship Is Coming In
Walker Brothers, The - No Regrets
Walker Brothers, The - Sun Ain't Gonna Shine Anymore, The
Walker, Billy - Charlie's Shoes
Walker, Butch - Good Times [w/Tommy Lee]
Walker, Charlie - Pick Me Up on Your Way Down
Walker, Chris - Love Tonight
Walker, Chris - Everyday Woman
Walker, Clay - One Two I Love You
Walker, Clay - Only on Days That End in Y
Walker, Clay - Ordinary People
Walker, Clay - Rumor Has It
Walker, Clay - Say No More
Walker, Clay - She Won't Be Lonely Long
Walker, Clay - She's Always Right
Walker, Clay - Then What
Walker, Clay - This Woman & This Man
Walker, Clay - Watch This
Walker, Clay - What's It to You
Walker, Clay - Where Do I Fit in the Picture
Walker, Clay - White Palace
Walker, Clay - Who Needs You Baby
Walker, Clay - You're Beginning to Get to Me
Walker, Clay - Once in a Lifetime Love
Walker, Clay - My Heart Will Never Know
Walker, Clay - Bury the Shovel
Walker, Clay - Chain of Love, The
Walker, Clay - Dreaming with My Eyes Open
Walker, Clay - Fall
Walker, Clay - Few Questions, A
Walker, Clay - Fore She Was Mama
Walker, Clay - I Can't Sleep
Walker, Clay - I Don't Know How Love Starts
Walker, Clay - I Won't Have the Heart
Walker, Clay - Live, Laugh, Love
Walker, Clay - Live Until I Die
Walker, Clay - Like We Never Said Goodbye
Walker, Clay - Jesus Was a Country Boy
Walker, Clay - If You Ever Feel Like Lovin' Me Again
Walker, Clay - If I Could Make a Living
Walker, Jerry Jeff - Pissin' in the Wind
Walker, Jerry Jeff - Up Against the Wall You Redneck
Walker, Joe Louis - Blues of the Month Club
Walker, Junior & the All Stars - What Does It Take to Win Your Love
Walker, Junior & the All Stars - Shotgun
Walker, Junior & the All-Stars - Road Runner, (I'm a)
Walker, Mike - Honey Do
Walker, Scott - Joanna
Walker, Stan - Black Box
Walker, Stan - Homesick
Walker, Stan - On Our Way
Walker, T. Bone - Stormy Monday
Walker, Tamara - Didn't We Love
Walker, Tamara - Askin' Too Much
Walker, Tamara - Angel Eyes
Walker, Terri - Whoopsie Daisy
Wall of VooDoo - Mexican Radio
Wall, Paul - Grillz [w/Nelly, Ali, & Gipp]
Wall, Paul - Girl
Wall, Paul - About Us [w/Brooke Hogan]
Wallace, Jerry - If You Leave Me Tonight I'll Cry
Wallace, Jerry - Primrose Lane
Wallflowers, The - Three Marlenes
Wallflowers, The - Sleepwalker
Wallflowers, The - One Headlight
Wallflowers, The - Heroes
Wallflowers, The - Difference, The
Wallflowers, The - Beautiful Side of Somewhere
Wallflowers, The - 6th Avenue Heartache
Wallis, Ruth - You've Gotta Have Boobs
Walsh, Joe - Walk Away [The James Gang]
Walsh, Joe - Rocky Mountain Way
Walsh, Joe - Ordinary Average Guy
Walsh, Joe - Life's Been Good
Walsh, Joe - Honey Don't [w/Steve Earle]
Walsh, Joe - Funk #49 [The James Gang]
Walsh, Joe - All Night Long
Walsh, Joe -  see also  Eagles, The 
Walters, Jamie - Why
Walters, Jamie - Hold On
Wamdue Project, The - King of My Castle
Wamdue Project, The - You're the Reason
Wang Chung - Dance Hall Days
Wang Chung - Everybody Have Fun Tonight
Wannadies, The - You and Me Song
Wanted, The - We Own the Night
Wanted, The - Warzone
Wanted, The - Walks Like Rihanna
Wanted, The - Lightning
Wanted, The - I Found You
Wanted, The - Heart Vacancy
Wanted, The - Gold Forever
Wanted, The - Glad You Came
Wanted, The - Chasing the Sun
