P Money - Stop the Music [w/Scribe]
P. Diddy - see  Diddy 
Pablo, Petey - see  Petey Pablo 
Pacifier - Bullit Proof
Page, Elaine - Memory
Page, Martin - Keeper of the Flame
Page, Martin - In the House of Stone and Light
Page, Patti - Try to Remember
Page, Patti - Tennessee Waltz, The
Page, Patti - Steam Heat
Page, Patti - Old Cape Cod
Page, Patti - Mockingbird Hill
Page, Patti - Little Green Apples
Page, Patti - Let Me Go Lover
Page, Patti - I Went to Your Wedding
Page, Patti - How Much Is That Doggie in the Window
Page, Patti - Changing Partners
Page, Patti - Allegheny Moon
Pagliaro, Michel - J'entends Frapper
Paige, Elaine - I Know Him So Well [w/Barbara Dickson]
Paige, Jennifer - Sober
Paige, Jennifer - Crush
Paige, Jennifer - Beautiful
Paige, Jennifer - Always You
Paisley, Brad - Too Country [w/Bill Anderson & George Jones & Buck Owens]
Paisley, Brad - Time Well Wasted
Paisley, Brad - Ticks
Paisley, Brad - This Is Country Music
Paisley, Brad - Then
Paisley, Brad - She's Everything
Paisley, Brad - Remind Me [w/Carrie Underwood]
Paisley, Brad - Two People Fell in Love
Paisley, Brad - Waitin' on a Woman
Paisley, Brad - Water
Paisley, Brad - We Danced
Paisley, Brad - Welcome to the Future
Paisley, Brad - When I Get Where I'm Going [w/Dolly Parton
Paisley, Brad - Whiskey Lullaby [w/Alison Krauss]
Paisley, Brad - Who Needs Pictures
Paisley, Brad - World, The
Paisley, Brad - Wrapped Around
Paisley, Brad - Online
Paisley, Brad - One Night in Las Vegas [w/Chely White]
Paisley, Brad - Old Alabama [w/Alabama]
Paisley, Brad - Ain't Nothing Like
Paisley, Brad - Alcohol
Paisley, Brad - American Saturday Night
Paisley, Brad - Best Thing I Had Goin'
Paisley, Brad - Celebrity
Paisley, Brad - Don't Drink the Water [w/Blake Shelton]
Paisley, Brad - Flowers
Paisley, Brad - He Didn't Have to Be
Paisley, Brad - I Wish You'd Stay
Paisley, Brad - I'm Gonna Miss Her
Paisley, Brad - I'm Still a Guy
Paisley, Brad - Letter to Me
Paisley, Brad - Little Moments
Paisley, Brad - Me Neither
Paisley, Brad - More Beaver [Cledus T. Judd parody of Me Neither]
Paisley, Brad - Mud on the Tires
Paisley, Brad - Oh Love [w/Carrie Underwood]
Pallot, Nerina - Learning to Breathe
Pallot, Nerina - Everybody's Gone to War
Palmer, Holly - Just So You Know
Palmer, Rissi - No Air
Palmer, Robert - Sneakin' Sally Through the Alley
Palmer, Robert - Simply Irresistible
Palmer, Robert - She Makes My Day
Palmer, Robert - Mercy Mercy Me/I Want You
Palmer, Robert - Mercy Mercy Me [Marvin Gaye cover]
Palmer, Robert - Know By Now
Palmer, Robert - I'll Be Your Baby Tonight [w/UB40]
Palmer, Robert - I Didn't Mean to Turn You On
Palmer, Robert - Bad Case of Loving You
Palmer, Robert - Addicted to Love
Paloma Faith - Let Your Love Walk In
Paloma Faith - Freedom
Paloma Faith - Black and Blue
Paloma Faith - Agony
Palomo - De Uno y de Todos los Modos
Palomo - No Me Conoces Aun
Palomo - Te Metiste en Mi Cama
Panic Channel, The - Why Cry
Panic! at the Disco - That Green Gentleman (Things Have Changed)
Panic! at the Disco - Ready to Go (Get Me Out of My Mind)
Panic! at the Disco - Only Difference Between Martyrdom & Suicide Is Press Coverage, The
Panic! at the Disco - Nine in the Afternoon
Panic! at the Disco - Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
Panic! at the Disco - I Write Sins Not Tragedies
Pantera - Walk
Pantera - I'm Broken
Pantera - Cowboys from Hell
Pantera - Cemetery Gates
Papa Dee - First Cut Is the Deepest, The
Papa Roach - Time and Time Again
Papa Roach - Take Me
Papa Roach - She Loves Me Not
Papa Roach - Scars
Papa Roach - Last Resort
Papa Roach - Getting Away with Murder
Papa Roach - Broken Home
Papa Roach - Between Angels and Insects
Paper Lace - Billy Don't Be a Hero
Paper Lace - Night Chicago Died, The
Paperboy - Ditty
Parachute - Kiss Me Slowly [w/Lady Antebellum]
Paradis, Vanessa - Joe Le Taxi
Paragons & Jesters - Please Let Me Love You
Paramore - That's What You Get
Paramore - Still Into You
Paramore - Now
Paramore - Misery Business
Paramore - Ignorance
Paramore - Decode
Paramore - CrushCrushCrush
Paramore - Brick By Boring Brick
Pardi, Jon - Up All Night
Paredes, David - No Speaki Spanish (My Love)
Paris Sisters, The - I Love How You Love Me
Paris, Mica - My One Temptation
Paris, Mica - Whisper a Prayer
Paris, Sarina - Look at Us
Paris, Twila - We Will Glorify
Paris, Twila - Heart That Knows, A
Paris, Twila - God Is in Control
Parker, Caryl Mack - It's Good to Be Me
Parker, Caryl Mack - One Night Stand
Parker, Ray Jr. - Ghostbusters
Parker, Ray Jr. - Jamie
Parker, Ray Jr. - Other Woman, The
Parker, Robert - Barefootin'
Parks, Alex - Cry
Parks, Alex - Looking for Water
Parks, Alex - Maybe That's What It Takes
Parliament - One Nation Under a Groove [Funkadelic]
Parliament - Give Up the Funk
Parliament - Flashlight (Part 2)
Parliament - Flashlight (Part 1)
Parliament - Flashlight
Parlotones, The - Shake It Up
Parnell, Lee Roy - She Won't Be Lonely Long
Parnell, Lee Roy - Take These Chains from My Heart
Parnell, Lee Roy - Tender Moment
Parnell, Lee Roy - We All Get Lucky Sometimes
Parnell, Lee Roy - When a Woman Loves a Man [w/Trisha Yearwood]
Parnell, Lee Roy - Workin' Man's Blues [w/Diamond Rio & SteveWariner]
Parnell, Lee Roy - You Can't Get There from Here
Parnell, Lee Roy - Power of Love, The
Parnell, Lee Roy - On the Road
Parnell, Lee Roy - All That Matters Anymore
Parnell, Lee Roy - Givin' Water to a Drowning Man
Parnell, Lee Roy - If the House Is Rockin'
Parnell, Lee Roy - I'm Holding My Own
Parnell, Lee Roy - Little Bit of You, A
Parnell, Lee Roy - Love Without Mercy
Parnell, Lee Roy - Lucky Me, Lucky You
Parol, Tina - Who's Got Your Money
Parr, John - Naughty Naughty
Parrish, Dean - I'm on My Way
Parsons, Alan - see  Alan Parsons Project, The 
Partlow, Hope - Who We Are
Partners in Kryme - T-U-R-T-L-E Power
Parton, Dolly - Rose Garden [w/Lynn Anderson]
Parton, Dolly - Seeker, The
Parton, Dolly - Seven Bridges Road
Parton, Dolly - Shine
Parton, Dolly - Silent Night
Parton, Dolly - Silver & Gold
Parton, Dolly - Silver Threads & Golden Needles [w/Tammy Wynette]
Parton, Dolly - Romeo
Parton, Dolly - Rockin' Years [w/Ricky Van Shelton]
Parton, Dolly - Real Love, The
Parton, Dolly - PMS Blues
Parton, Dolly - Please Don't Stop Loving Me [w/Porter Wagoner]
Parton, Dolly - Old Flames Can't Hold a Candle to You
Parton, Dolly - My Blue Ridge Mountain Boy
Parton, Dolly - Mule Skinner Blues
Parton, Dolly - More Where That Came From
Parton, Dolly - Love Is Strange [w/Kenny Rogers]
Parton, Dolly - Slow Dancing with the Moon
Parton, Dolly - Stairway to Heaven
Parton, Dolly - Stand By Your Man [w/Tammy Wynette]
Parton, Dolly - With Bells on [w/Kenny Rogers]
Parton, Dolly - Wildflowers [w/Emmylou Harris]
Parton, Dolly - Why'd You Come in Here Lookin' Like That
Parton, Dolly - Whenever Forever Comes [w/Collin Raye]
Parton, Dolly - When I Get Where I'm Going [w/Brad Paisley]
Parton, Dolly - Welcome Home
Parton, Dolly - Two Doors Down
Parton, Dolly - Travelin' Prayer
Parton, Dolly - Together You and I
Parton, Dolly - To Daddy
Parton, Dolly - Time for Me to Fly
Parton, Dolly - Tie Our Love (In a Double Knot)
Parton, Dolly - Think About Love
Parton, Dolly - Tender Lie, A
Parton, Dolly - Straight Talk
Parton, Dolly - Starting Over Again
Parton, Dolly - You're the Only One
Parton, Dolly - Love Is Like a Butterfly
